warmup,explore_prob,pattern,load,flowsize,mean_delta_pct,p99_delta_pct,rtx_pct
4,20,permutation_random,0.7,2000000,-3.084,-4.512,0.188
4,20,permutation_random,0.8,100000,1.117,3.483,0.000
4,20,permutation_random,0.8,2000000,-2.540,-3.383,0.450
4,20,permutation_random,0.9,100000,1.555,2.484,0.000
4,20,permutation_random,0.9,2000000,-3.219,-1.569,0.487
4,40,tornado,0.25,100000,0.308,0.221,0.000
4,40,tornado,0.25,2000000,1.902,0.912,0.149
4,40,tornado,0.5,100000,1.248,2.837,0.000
4,40,tornado,0.5,2000000,6.268,8.678,2.092
4,40,tornado,0.75,100000,1.616,3.536,0.000
4,40,tornado,0.75,2000000,1.743,-3.303,2.727
4,40,tornado,1.0,100000,1.266,3.528,0.000
4,40,tornado,1.0,2000000,-0.725,-1.700,3.111
4,40,permutation_random,0.6,100000,0.683,0.539,0.000
4,40,permutation_random,0.6,2000000,-3.894,-3.587,0.053
4,40,permutation_random,0.7,100000,1.573,3.697,0.000
4,40,permutation_random,0.7,2000000,-2.584,-3.031,0.187
4,40,permutation_random,0.8,100000,1.117,3.483,0.000
4,40,permutation_random,0.8,2000000,-1.890,-1.355,0.405
4,40,permutation_random,0.9,100000,1.555,2.484,0.000
4,40,permutation_random,0.9,2000000,-2.962,0.126,0.431
4,70,tornado,0.25,100000,0.308,0.221,0.000
4,70,tornado,0.25,2000000,-0.038,-1.253,0.000
4,70,tornado,0.5,100000,1.248,2.837,0.000
4,70,tornado,0.5,2000000,2.643,3.896,0.284
4,70,tornado,0.75,100000,1.616,3.536,0.000
4,70,tornado,0.75,2000000,0.289,3.266,1.125
4,70,tornado,1.0,100000,1.266,3.528,0.000
4,70,tornado,1.0,2000000,0.564,0.049,1.803
4,70,permutation_random,0.6,100000,0.683,0.539,0.000
4,70,permutation_random,0.6,2000000,-2.063,-1.032,0.061
4,70,permutation_random,0.7,100000,1.573,3.697,0.000
4,70,permutation_random,0.7,2000000,-1.339,1.334,0.205
4,70,permutation_random,0.8,100000,1.117,3.483,0.000
4,70,permutation_random,0.8,2000000,-0.840,4.215,0.372
4,70,permutation_random,0.9,100000,1.555,2.484,0.000
4,70,permutation_random,0.9,2000000,-2.034,2.875,0.438
